CANBK,20161104,294.2,297.75,286.5,289.8,3326037,0
CANDC,20161104,22.5,22.95,20.2,20.85,106287,0
CANFINHOME,20161104,1819.9,1820,1712.15,1737,44416,0
CANTABIL,20161104,70,70.65,67.05,69.5,16347,0
CAPF,20161104,691,695.55,647.1,659.55,173197,0
CAPLIPOINT,20161104,384.7,384.7,355.05,364.35,104694,0
CARBORUNIV,20161104,266,269.15,264.8,266.4,133892,0
CAREERP,20161104,123.05,124.95,119.1,121.45,33686,0
CARERATING,20161104,1404.6,1416.05,1352,1360.85,46467,0
CASTEXTECH,20161104,9.35,9.4,8.55,8.7,2279676,0
CASTROLIND,20161104,433.9,436.8,420.55,430,1623370,0
CCCL,20161104,4,4,3.8,3.85,115932,0
CCHHL,20161104,16,16,14.3,14.8,381536,0
CCL,20161104,250.3,251,243.5,249.65,127797,0
CEATLTD,20161104,1243,1246.65,1182.15,1200.35,819598,0
CEBBCO,20161104,14.85,14.85,13.75,13.95,114620,0
CELEBRITY,20161104,12.65,12.65,11.6,12,113538,0
CELESTIAL,20161104,24.45,25.2,23.1,24.05,85382,0
CENTENKA,20161104,312,324.8,304.25,308.75,383471,0
CENTEXT,20161104,10.3,10.35,9.5,10.1,995625,0
CENTRALBK,20161104,91.5,92,87.1,88.5,684086,0
CENTUM,20161104,508.05,513.85,488,499.05,5184,0
CENTURYPLY,20161104,243,243.4,227,229.7,134433,0
CENTURYTEX,20161104,987.9,994.7,952.65,979.35,1592496,0
CERA,20161104,2746,2746,2672.05,2718.9,5888,0
CEREBRAINT,20161104,25.9,25.9,22.25,22.65,886265,0
CESC,20161104,585,596.05,578.4,586.2,507220,0
CGCL,20161104,339.7,340,319.9,325.25,10001,0
CHAMBLFERT,20161104,62.7,64.5,61.95,63.9,1295198,0
CHEMFALKAL,20161104,332.55,335.1,301,305,171882,0
CHENNPETRO,20161104,261.05,262.5,251,253,402781,0
CHOLAFIN,20161104,1138,1159.85,1090,1118.3,143576,0
CHROMATIC,20161104,3.25,3.3,3.05,3.1,365332,0
CIGNITITEC,20161104,416,416,406,407.45,39610,0
